User-ID,ISBN,Predicted-Rating,Actual-Rating,Rating Difference,Difference Direction,,,,,,
33200,60176075,7.05,2,5.05,-1,,Actual/Perdicted,High,Low,,RSME
61854,345420969,7.425,2,5.425,-1,,High,107,32,,1.851416998
15208,671693654,7.5,3,4.5,-1,,Low,43,18,,
35487,381350087X,7.625,3,4.625,-1,,,,,200,
87549,373483449,6.975,3,3.975,-1,,,,,,
188902,345367561,7.1,3,4.1,-1,,,,,,
222621,354825103X,7.15,3,4.15,-1,,,,,,
56719,671318519,8.125,4,4.125,-1,,,,,,
69808,679744665,7.975,4,3.975,-1,,,,,,
107523,451169530,7.725,4,3.725,-1,,,,,,
198822,440209803,7.825,4,3.825,-1,,,,,,
205980,828006725,8,4,4,-1,,,,,,
211057,2700700384,7.175,4,3.175,-1,,,,,,
212915,786889020,7.325,4,3.325,-1,,,,,,
3640,449241114,7.9,5,2.9,-1,,,,,,
6543,743243412,7.85,5,2.85,-1,,,,,,
30276,1551666596,7.525,5,2.525,-1,,,,,,
35030,451191145,7.575,5,2.575,-1,,,,,,
37512,553277537,8.05,5,3.05,-1,,,,,,
53046,373835353,8.475,5,3.475,-1,,,,,,
53456,451191145,8.25,5,3.25,-1,,,,,,
63714,460862316,7.825,5,2.825,-1,,,,,,
64396,380973413,7.7,5,2.7,-1,,,,,,
66323,375411305,7.675,5,2.675,-1,,,,,,
66878,380732831,7.85,5,2.85,-1,,,,,,
93520,887308678,7.6,5,2.6,-1,,,,,,
104996,843176024,7.65,5,2.65,-1,,,,,,
122784,425154882,7.25,5,2.25,-1,,,,,,
140358,671027662,8.025,5,3.025,-1,,,,,,
153662,084235025X,8.525,5,3.525,-1,,,,,,
155019,451183665,8.475,5,3.475,-1,,,,,,
166825,373056095,7.325,5,2.325,-1,,,,,,
168438,373709064,7.275,5,2.275,-1,,,,,,
171602,394577140,7.35,5,2.35,-1,,,,,,
185233,689803664,7.175,5,2.175,-1,,,,,,
194364,1573222127,7.35,5,2.35,-1,,,,,,
228021,590129988,7.725,5,2.725,-1,,,,,,
229921,61093327,7.75,5,2.75,-1,,,,,,
229921,61093327,7.75,5,2.75,-1,,,,,,
236283,076111937X,7.525,5,2.525,-1,,,,,,
259400,345386108,8.025,5,3.025,-1,,,,,,
268231,440204429,7.6,5,2.6,-1,,,,,,
31229,1857022157,7.175,6,1.175,-1,,,,,,
44588,877736758,7.625,6,1.625,-1,,,,,,
61323,067152612X,7.55,6,1.55,-1,,,,,,
76019,349112940,8.075,6,2.075,-1,,,,,,
85962,60125683,7.5,6,1.5,-1,,,,,,
124066,067976402X,7.675,6,1.675,-1,,,,,,
137283,055326611X,7.8,6,1.8,-1,,,,,,
158254,679735259,7.5,6,1.5,-1,,,,,,
170002,425178765,7.125,6,1.125,-1,,,,,,
173203,141186151,7.5,6,1.5,-1,,,,,,
176597,345353145,7.15,6,1.15,-1,,,,,,
189392,449006581,6.825,6,0.825,-1,,,,,,
210485,140293248,7.45,6,1.45,-1,,,,,,
220664,671740784,7.55,6,1.55,-1,,,,,,
235105,345457587,7.6,6,1.6,-1,,,,,,
249096,694520799,7.825,6,1.825,-1,,,,,,
252843,515133418,7.3,6,1.3,-1,,,,,,
260796,679740392,7.6,6,1.6,-1,,,,,,
264321,449005828,7.05,6,1.05,-1,,,,,,
14422,688078028,7.475,7,0.475,-1,,,,,,
16798,151002290,7.475,7,0.475,-1,,,,,,
26231,1558745041,8.05,7,1.05,-1,,,,,,
30276,451200373,7.2,7,0.2,-1,,,,,,
33145,2070405915,7.575,7,0.575,-1,,,,,,
45302,425174271,7.8,7,0.8,-1,,,,,,
59912,345386825,7.2,7,0.2,-1,,,,,,
79182,440221471,7.55,7,0.55,-1,,,,,,
80555,671004107,7.225,7,0.225,-1,,,,,,
93047,345337662,7.375,7,0.375,-1,,,,,,
95316,446609404,7.35,7,0.35,-1,,,,,,
125596,3442451426,7.5,7,0.5,-1,,,,,,
129176,886779162,7.925,7,0.925,-1,,,,,,
131913,446673595,7.925,7,0.925,-1,,,,,,
136010,052524185X,7.825,7,0.825,-1,,,,,,
146113,156233252X,7.7,7,0.7,-1,,,,,,
149056,684848465,7.675,7,0.675,-1,,,,,,
164009,140620427,7.175,7,0.175,-1,,,,,,
165183,553262386,7.225,7,0.225,-1,,,,,,
