User-ID,ISBN,Predicted-Rating,Actual-Rating,Rating Difference,Difference Direction,,,(7 or Greater),(6 or Less),,
55490,425105466,7.925,2,5.925,-1,,Actual/Perdicted,High,Low,,RSME
40276,345274628,7.35,3,4.35,-1,,High,113,34,,1.851416998
246201,446516538,7.25,3,4.25,-1,,Low,38,15,,
35487,381350087X,7.625,3,4.625,-1,,,,,200,
56135,696046644,8.15,4,4.15,-1,,Precision,0.748344371,,,
140161,718129474,8.075,5,3.075,-1,,Recall,0.768707483,,,
60823,031242227X,7.175,5,2.175,-1,,F-measure,0.758389262,,,
275631,60675322,7.85,5,2.85,-1,,,,,,
94347,571129579,7.2,5,2.2,-1,,,,,,
147839,446527017,7.45,5,2.45,-1,,,,,,
11676,6552390,7.7,5,2.7,-1,,,,,,
166825,373056095,7.325,5,2.325,-1,,,,,,
170319,373263562,7.2,5,2.2,-1,,,,,,
16795,878685855,7.6,5,2.6,-1,,,,,,
195469,684801523,7.3,5,2.3,-1,,,,,,
228021,590129988,7.725,5,2.725,-1,,,,,,
259400,345386108,8.025,5,3.025,-1,,,,,,
186899,836218051,7.475,5,2.475,-1,,,,,,
278418,671017128,7.525,5,2.525,-1,,,,,,
248718,886775531,7.7,5,2.7,-1,,,,,,
3640,449241114,7.9,5,2.9,-1,,,,,,
155743,671011367,8.175,5,3.175,-1,,,,,,
50225,571115020,7.925,5,2.925,-1,,,,,,
87964,425163458,7.125,5,2.125,-1,,,,,,
200772,038533530X,7.05,5,2.05,-1,,,,,,
259400,345386108,8.025,5,3.025,-1,,,,,,
208071,446611360,7.425,5,2.425,-1,,,,,,
93615,786862572,7.425,5,2.425,-1,,,,,,
276538,3442422337,7.6,5,2.6,-1,,,,,,
186899,836218051,7.475,5,2.475,-1,,,,,,
237912,61094110,7.15,5,2.15,-1,,,,,,
96389,821742590,7.475,5,2.475,-1,,,,,,
164533,679766111,7.275,5,2.275,-1,,,,,,
60823,031242227X,7.175,5,2.175,-1,,,,,,
234108,671023225,7.725,5,2.725,-1,,,,,,
140358,671027662,8.025,5,3.025,-1,,,,,,
173684,307199088,7.5,5,2.5,-1,,,,,,
168245,385185510,7.35,6,1.35,-1,,,,,,
264191,2070373630,7,6,1,-1,,,,,,
41057,385508417,7.15,6,1.15,-1,,,,,,
94985,451174747,7.325,6,1.325,-1,,,,,,
238699,441009077,7.35,6,1.35,-1,,,,,,
242826,553583913,7.55,6,1.55,-1,,,,,,
145099,140441476,7.6,6,1.6,-1,,,,,,
166767,385721420,7.3,6,1.3,-1,,,,,,
168245,385185510,7.35,6,1.35,-1,,,,,,
162760,753811251,7.55,6,1.55,-1,,,,,,
252843,042516232X,7.3,6,1.3,-1,,,,,,
124066,067976402X,7.675,6,1.675,-1,,,,,,
75819,684870797,7.975,6,1.975,-1,,,,,,
87473,684813351,7.65,6,1.65,-1,,,,,,
248718,425143899,7.425,6,1.425,-1,,,,,,
91751,385497466,7.525,6,1.525,-1,,,,,,
11676,3499151499,7.875,7,0.875,-1,,,,,,
138138,671002597,8,7,1,-1,,,,,,
167442,038071972X,7.325,7,0.325,-1,,,,,,
32034,446394521,7,7,0,0,,,,,,
216012,1583143548,8.225,7,1.225,-1,,,,,,
